,u,v,j,i,X,Y,Z
58,578.0756,497.95572,-2,8,-1.0,4.0,4
59,52.42244,499.8854,-2,-8,-1.0,-4.0,4
62,240.23453,563.1985,-4,-2,-2.0,-1.0,4
63,304.1667,563.08655,-4,0,-2.0,0.0,4
64,177.98254,563.8046,-4,-4,-2.0,-2.0,4
65,370.00107,563.7692,-4,2,-2.0,1.0,4
66,437.07565,564.13116,-4,4,-2.0,2.0,4
67,115.3331,564.8957,-4,-6,-2.0,-3.0,4
68,507.85825,566.1265,-4,6,-2.0,3.0,4
69,579.9965,567.9952,-4,8,-2.0,4.0,4
71,177.1071,630.9607,-6,-4,-3.0,-2.0,4
72,240.2286,630.9783,-6,-2,-3.0,-1.0,4
73,304.8402,631.12146,-6,0,-3.0,0.0,4
74,114.02451,632.08435,-6,-6,-3.0,-3.0,4
75,370.97452,632.72626,-6,2,-3.0,1.0,4
76,438.75488,633.6853,-6,4,-3.0,2.0,4
77,509.19644,635.9401,-6,6,-3.0,3.0,4
78,582.25494,638.50824,-6,8,-3.0,4.0,4
80,176.94458,699.86304,-8,-4,-4.0,-2.0,4
81,241.27895,699.87274,-8,-2,-4.0,-1.0,4
82,112.27504,700.9055,-8,-6,-4.0,-3.0,4
83,306.07272,700.73694,-8,0,-4.0,0.0,4
84,372.79666,702.1232,-8,2,-4.0,1.0,4
85,442.155,705.149,-8,4,-4.0,2.0,4
86,512.9326,707.9045,-8,6,-4.0,3.0,4
88,241.63676,769.9649,-10,-2,-5.0,-1.0,4
89,176.2761,770.89124,-10,-4,-5.0,-2.0,4
90,307.73816,771.0488,-10,0,-5.0,0.0,4
91,375.06082,773.0894,-10,2,-5.0,1.0,4
92,444.94424,776.7955,-10,4,-5.0,2.0,4
93,517.082,780.33,-10,6,-5.0,3.0,4
95,242.23412,843.0611,-12,-2,-6.0,-1.0,4
96,309.18152,844.1727,-12,0,-6.0,0.0,4
97,377.98148,846.3136,-12,2,-6.0,1.0,4
98,449.19284,851.16797,-12,4,-6.0,2.0,4
2,395.00372,106.37125,10,2,5.0,1.0,5
3,329.30978,108.60134,10,0,5.0,0.0,5
5,525.0494,167.86719,8,6,4.0,3.0,5
6,457.06152,169.2671,8,4,4.0,2.0,5
7,391.06943,171.27011,8,2,4.0,1.0,5
8,326.26114,173.17204,8,0,4.0,0.0,5
9,263.1362,175.4216,8,-2,4.0,-1.0,5
10,199.19334,176.38342,8,-4,4.0,-2.0,5
12,591.93726,232.14223,6,8,3.0,4.0,5
13,522.17914,232.93428,6,6,3.0,3.0,5
14,454.1519,233.90762,6,4,3.0,2.0,5
15,388.0543,235.79333,6,2,3.0,1.0,5
16,323.14056,237.32845,6,0,3.0,0.0,5
17,260.05197,239.50618,6,-2,3.0,-1.0,5
18,197.3524,241.488,6,-4,3.0,-2.0,5
19,133.3768,242.1312,6,-6,3.0,-3.0,5
20,520.2349,298.32718,4,6,2.0,3.0,5
21,590.23236,297.72125,4,8,2.0,4.0,5
22,451.98172,299.11478,4,4,2.0,2.0,5
24,385.19983,300.20682,4,2,2.0,1.0,5
26,320.84348,302.09305,4,0,2.0,0.0,5
27,256.48224,303.48553,4,-2,2.0,-1.0,5
28,195.22292,306.0288,4,-4,2.0,-2.0,5
29,132.44627,307.3453,4,-6,2.0,-3.0,5
30,450.14905,365.118,2,4,1.0,2.0,5
31,519.05206,364.99118,2,6,1.0,3.0,5
32,590.02057,365.37927,2,8,1.0,4.0,5
33,383.20462,365.9681,2,2,1.0,1.0,5
34,318.1848,367.15894,2,0,1.0,0.0,5
36,254.27675,368.48276,2,-2,1.0,-1.0,5
38,192.3643,370.31454,2,-4,1.0,-2.0,5
39,131.43362,372.31998,2,-6,1.0,-3.0,5
40,67.00152,374.32706,2,-8,1.0,-4.0,5
41,448.99457,432.12775,0,4,0.0,2.0,5
42,518.22687,432.2491,0,6,0.0,3.0,5
43,316.30386,433.1531,0,0,0.0,0.0,5
44,381.91028,432.62634,0,2,0.0,1.0,5
