,u,v,j,i,X,Y,Z
81,144.96251,710.6616,-4,-6,-2.0,-3.0,3
82,541.1588,770.14905,-6,6,-3.0,3.0,3
83,604.9844,769.8029,-6,8,-3.0,4.0,3
84,478.69638,771.9498,-6,4,-3.0,2.0,3
85,414.66953,773.64954,-6,2,-3.0,1.0,3
86,348.92194,774.9218,-6,0,-3.0,0.0,3
87,282.0342,776.29504,-6,-2,-3.0,-1.0,3
88,213.92178,777.07635,-6,-4,-3.0,-2.0,3
89,143.71921,777.8427,-6,-6,-3.0,-3.0,3
91,540.574,836.2185,-8,6,-4.0,3.0,3
92,412.40518,838.2096,-8,2,-4.0,1.0,3
93,476.8468,837.8672,-8,4,-4.0,2.0,3
94,346.33575,840.34186,-8,0,-4.0,0.0,3
95,280.16876,841.9124,-8,-2,-4.0,-1.0,3
96,211.40346,843.94257,-8,-4,-4.0,-2.0,3
98,474.7805,905.056,-10,4,-5.0,2.0,3
99,409.77258,906.13196,-10,2,-5.0,1.0,3
100,344.05695,907.8016,-10,0,-5.0,0.0,3
101,276.8926,909.8086,-10,-2,-5.0,-1.0,3
1,260.76154,149.64996,12,-2,6.0,-1.0,4
2,331.63864,153.80211,12,0,6.0,0.0,4
3,399.8886,156.15413,12,2,6.0,1.0,4
4,466.95624,157.95181,12,4,6.0,2.0,4
5,533.31866,157.83049,12,6,6.0,3.0,4
6,194.63924,219.68106,10,-4,5.0,-2.0,4
7,264.0596,221.28752,10,-2,5.0,-1.0,4
8,334.82925,226.26826,10,0,5.0,0.0,4
9,401.85397,227.35684,10,2,5.0,1.0,4
10,467.85013,228.89743,10,4,5.0,2.0,4
11,598.4034,228.84372,10,8,5.0,4.0,4
12,533.0488,229.93173,10,6,5.0,3.0,4
13,197.88133,290.94717,8,-4,4.0,-2.0,4
14,269.05493,293.85272,8,-2,4.0,-1.0,4
15,337.94415,295.9665,8,0,4.0,0.0,4
16,404.90128,297.87662,8,2,4.0,1.0,4
17,662.40643,298.16916,8,10,4.0,5.0,4
18,470.002,298.98593,8,4,4.0,2.0,4
19,533.9496,299.30695,8,6,4.0,3.0,4
20,597.7556,299.21606,8,8,4.0,4.0,4
22,127.19808,358.2374,6,-6,3.0,-3.0,4
23,200.87187,361.10532,6,-4,3.0,-2.0,4
24,271.0293,363.02158,6,-2,3.0,-1.0,4
25,339.884,364.84695,6,0,3.0,0.0,4
26,406.12366,365.9079,6,2,3.0,1.0,4
27,661.8995,366.2562,6,10,3.0,5.0,4
28,471.1287,366.9436,6,4,3.0,2.0,4
29,534.9668,367.2187,6,6,3.0,3.0,4
30,597.9714,366.93896,6,8,3.0,4.0,4
32,130.03209,429.06348,4,-6,2.0,-3.0,4
33,202.76114,430.86722,4,-4,2.0,-2.0,4
34,272.90704,432.08133,4,-2,2.0,-1.0,4
35,341.0085,433.16086,4,0,2.0,0.0,4
36,407.80032,434.07568,4,2,2.0,1.0,4
37,472.14383,434.3147,4,4,2.0,2.0,4
38,598.8145,433.55347,4,8,2.0,4.0,4
39,661.24536,433.7776,4,10,2.0,5.0,4
40,535.7391,434.78052,4,6,2.0,3.0,4
42,131.90082,499.06882,2,-6,1.0,-3.0,4
43,203.92505,500.25433,2,-4,1.0,-2.0,4
44,659.1248,500.25452,2,10,1.0,5.0,4
45,273.77478,501.05447,2,-2,1.0,-1.0,4
46,597.95636,501.12924,2,8,1.0,4.0,4
47,341.93964,501.69797,2,0,1.0,0.0,4
48,408.0761,501.9816,2,2,1.0,1.0,4
49,472.85504,501.87527,2,4,1.0,2.0,4
50,535.78345,501.65402,2,6,1.0,3.0,4
52,596.8517,566.9478,0,8,0.0,4.0,4
53,660.18256,566.4068,0,10,0.0,5.0,4
54,534.8818,567.91345,0,6,0.0,3.0,4
55,132.89244,568.64954,0,-6,0.0,-3.0,4
56,204.04695,569.101,0,-4,0.0,-2.0,4
57,407.90567,569.2969,0,2,0.0,1.0,4
58,472.04724,568.74084,0,4,0.0,2.0,4
59,273.75876,569.678,0,-2,0.0,-1.0,4
60,342.03656,569.9024,0,0,0.0,0.0,4
61,658.89844,631.9549,-2,10,-1.0,5.0,4
62,595.8417,632.77856,-2,8,-1.0,4.0,4
63,533.9299,633.9964,-2,6,-1.0,3.0,4
64,470.96127,635.07294,-2,4,-1.0,2.0,4
66,406.90268,636.2394,-2,2,-1.0,1.0,4
67,132.76053,637.04047,-2,-6,-1.0,-3.0,4
68,273.19342,637.28906,-2,-2,-1.0,-1.0,4
69,340.82764,637.0012,-2,0,-1.0,0.0,4
70,203.8634,637.59937,-2,-4,-1.0,-2.0,4
71,594.16754,698.0845,-4,8,-2.0,4.0,4
72,658.59735,697.8639,-4,10,-2.0,5.0,4
73,532.15717,699.73773,-4,6,-2.0,3.0,4
74,469.10226,701.03436,-4,4,-2.0,2.0,4
75,405.6027,702.8445,-4,2,-2.0,1.0,4
76,339.70175,703.759,-4,0,-2.0,0.0,4
78,132.00652,705.0835,-4,-6,-2.0,-3.0,4
79,202.90123,705.00574,-4,-4,-2.0,-2.0,4
80,272.00708,704.7,-4,-2,-2.0,-1.0,4
81,530.1347,765.01465,-6,6,-3.0,3.0,4
