,u,v,j,i,X,Y,Z
112,542.88513,708.9023,-6,2,-3.0,1.0,9
113,611.361,708.9905,-6,4,-3.0,2.0,9
114,679.9838,709.0611,-6,6,-3.0,3.0,9
115,748.1609,709.8093,-6,8,-3.0,4.0,9
116,816.8618,710.06683,-6,10,-3.0,5.0,9
117,127.34743,710.8684,-6,-10,-3.0,-5.0,9
118,887.3919,711.2718,-6,12,-3.0,6.0,9
119,960.3498,714.3134,-6,14,-3.0,7.0,9
120,337.39047,776.9791,-8,-4,-4.0,-2.0,9
121,406.07748,776.8875,-8,-2,-4.0,-1.0,9
122,474.09058,776.74786,-8,0,-4.0,0.0,9
123,543.05676,776.86395,-8,2,-4.0,1.0,9
124,267.98138,777.75854,-8,-6,-4.0,-3.0,9
125,611.0656,777.9896,-8,4,-4.0,2.0,9
126,679.90674,777.94,-8,6,-4.0,3.0,9
127,747.9144,778.9032,-8,8,-4.0,4.0,9
128,197.06783,779.0666,-8,-8,-4.0,-4.0,9
129,818.0559,780.2056,-8,10,-4.0,5.0,9
130,124.289986,781.8228,-8,-10,-4.0,-5.0,9
131,889.85016,782.5631,-8,12,-4.0,6.0,9
132,405.33713,846.19336,-10,-2,-5.0,-1.0,9
133,474.03772,846.15045,-10,0,-5.0,0.0,9
134,542.78827,846.3052,-10,2,-5.0,1.0,9
135,336.07184,847.077,-10,-4,-5.0,-2.0,9
136,611.07306,846.9554,-10,4,-5.0,2.0,9
137,680.0973,847.3329,-10,6,-5.0,3.0,9
138,266.7974,848.2151,-10,-6,-5.0,-3.0,9
139,749.324,849.10626,-10,8,-5.0,4.0,9
140,195.30298,850.8523,-10,-8,-5.0,-4.0,9
141,820.015,851.147,-10,10,-5.0,5.0,9
142,542.1943,917.1983,-12,2,-6.0,1.0,9
